Project ID,Project Type,Samples,Date Received,Date Completed
20-067,Capillary,42,08/10/2020,10/Aug/20
20-068,Capillary,12,08/10/2020,10/Aug/20
20-069,Capillary,8,08/10/2020,10/Aug/20
20-070,Capillary,6,10/12/2020,10/Dec/20
20-071,Capillary,22,18/09/2020,18/09/2020
20-072,Capillary+Cleanup,7,15/10/2020,15/10/2020
20-073,Capillary,2,15/10/2020,15/10/2020
20-074,Capillary,12,16/10/2020,16/10/2020
20-075,Capillary+Cleanup,6,16/10/2020,16/10/2020
20-076,Capillary+Cleanup,12,29/10/2020,29/10/2020
20-077,Capillary+Cleanup,11,05/11/2020,11/May/20
20-078,Capillary+Cleanup,10,06/11/2020,11/Jun/20
20-079,Capillary+Cleanup,10,26/10/2020,26/10/2020
20-080,Capillary+Cleanup,13,17/11/2020,17/11/2020
20-081,Capillary+Cleanup,1,17/11/2020,17/11/2020
20-086,Capillary+Cleanup,22,24/11/2020,24/11/2020
20-087,Capillary+Cleanup,7,26/11/2020,26/11/2020
20-088,Extract2Seq,2,26/11/2020,26/11/2020
20-090,Capillary+Cleanup,34,26/11/2020,26/11/2020
20-092,Capillary+Cleanup,14,25/11/2020,25/11/2020
20-095,Capillary+Cleanup,31,04/12/2020,12/Apr/20
20-092,Capillary+Cleanup,38,12/09/2020,09/Dec/20
20-093,Capillary+Cleanup,12,15/12/2020,15/12/2020
20-095,PCR-Seq,74,11/12/2020,11/Dec/20
20-098,Capillary,11,01/09/2020,24/Aug/20
20-099,Capillary,5,01/09/2020,01/Sep/04
20-100,Extract2seq,2,07/09/2020,30/Oct/20
20-103,DNA purification,57,10/09/2020,30/Oct/20
20-104,Capillary,24,08/09/2020,30/Oct/20
20-105,Capillary,24,08/09/2020,30/Oct/20
20-106,Capillary+Cleanup,4,18/09/2020,30/Oct/20
20-107,Extract2seq,1,02/10/2020,30/Oct/20
20-108,Capillary,17,01/10/2020,08/Oct/20
20-109,Capillary,29,02/10/2020,08/Oct/20
20-110,Capillary,2,24/09/2020,08/Oct/20
20-111,Capillary+Cleanup,4,05/10/2020,08/Oct/20
20-112,DNA purification,14,10/08/2020,08/Oct/20
20-113,Capillary+Cleanup,9,10/08/2020,30/Oct/20
20-114,Blood DNA Extraction,1,10/09/2020,12/Oct/20
20-116,Capillary+Cleanup,4,09/10/2020,15/Oct/20
20-117,Capillary,7,08/10/2020,15/Oct/20
20-118,Capillary,20,15/10/2020,16/Oct/20
20-119,Capillary+Cleanup,27,14/10/2020,16/Oct/20
20-121,Extract2seq,16,21/09/2020,08/Oct/20
20-122,Capillary+Cleanup,50,28/10/2020,08/Oct/20
20-125,Extract2Seq,1,28/10/2020,06/Nov/20
20-128,Capillary+Cleanup,35,27/10/2020,17/Nov/20
20-131,Capillary+Cleanup,47,17/11/2020,18/Nov/20
20-141,Capillary,16,17/11/2020,02/Dec/20
20-142,Capillary,5,17/11/2020,02/Dec/20
20-144,CapSeq,370,17/11/2020,02/Dec/20
20-145,Extract2Seq,29,19/11/2020,25/Nov/20
20-146,PCR + Seq,5,19/11/2020,02/Dec/20
20-151,Capillary+Cleanup,14,02/12/2020,04/Dec/20
20-152,Capillary+Cleanup,31,02/12/2020,15/Dec/20
20-153,Extract2Seq,1,27/11/2020,12/Sep/20
20-154,Extract2Seq,10,02/12/2020,15/Dec/20
20-155,Capillary+Cleanup,11,04/12/2020,12/Nov/20
20-156,Capillary+Cleanup,50,04/12/2020,12/Nov/20
20-158,PCR + Seq,2,02/12/2020,15/Dec/20
