Project ID,Project Type,Samples,Date Received,Date Completed
22-115,Capillary Sequencing,51,8/16/2022,
22-116,Capillary Sequencing,13,8/17/2022,
22-117,capilarry sequencing,36,8/18/2022,
22-118,Capillary Sequencing,18,8/18/2022,
22-118,Capillary Sequencing,5,8/18/2022,
22-119,Capillary Sequencing,76,8/3/2022,
22-120,Extract2Seq,1,8/11/2022,
22-121,Capillary+Cleanup,12,8/3/2022,
22-122,Capillary+Cleanup,3,8/17/2022,
22-123,Capillary+Cleanup,4,7/29/2022,
22-124,Capillary+Cleanup,16,8/11/2022,
22-125,Capillary+Cleanup,34,8/17/2022,
22-126,Capillary+Cleanup,16,8/17/2022,
22-127,Capillary Sequencing,600,9/2/2022,
22-128,Extract2Seq,5,9/5/2022,
22-129,Capillary Sequencing,3,9/5/2022,
22-131,Capillary Sequencing,4,9/9/2022,
22-132,Capillary Sequencing,64,9/18/2022,
22-133,Capillary Sequencing,8,9/23/2022,
22-134,Capillary Sequencing,8,9/27/2022,
22-135,Capillary Sequencing,12,9/22/2022,
22-136,Capillary Sequencing,19,9/22/2022,
22-137,Extract2Seq,4,9/16/2022,
22-138,Capillary+Cleanup,34,9/16/2022,
22-139,Extract2Seq,5,9/16/2022,
22-140,Capillary+Cleanup,18,10/18/2022,
22-141,Capillary+Cleanup,4,10/18/2022,
22-142,Extract2Seq,7,10/11/2022,
22-143,Extract2Seq,20,10/12/2022,
22-144,Extract2Seq,9,10/17/2022,
22-145,Extract2Seq,1,10/17/2022,
22-146,Capillary Sequencing,22,11/18/2022,
22-147,Purification+Sequencing,114,11/21/2022,
22-148,Extract2Seq,28,11/7/2022,
22-149,Capillary+Cleanup,60,10/17/2022,
22-151,Extract2Seq,1,10/17/2022,
22-152,Extract2seq,1,11/6/2022,
22-153,Extract2seq,2,11/7/2022,
22-154,Extra2Seq,45,10/17/2022,
22-156,Capillary Sequencing,8,10/17/2022,
