Project ID,Project Type,# of samples,Sample type,Date Received,Date Completed
24-078,Extract2seq,2,bacteria,2024-05-22,2024-06-14
24-079,Extract2seq,4,mollusk,2024-05-23,2024-06-03
24-079,PCR2seq,19,DNA,2024-05-23,2024-07-05
24-080,Extraction,4,human whole blood,2024-05-16,2024-05-17
24-081,Extraction,7,human whole blood,2024-05-23,2024-05-27
24-082,Capillary+Cleanup,73,unpurified PCR,2024-05-31,2024-06-07
24-083,Extract2seq,10,bacteria,2024-06-04,2024-06-07
24-084,Extraction,1,whole blood,2024-05-31,2024-06-03
24-085,Capillary+Cleanup,60,unpurified PCR,2024-06-05,2024-06-14
24-086,Gel Electrophoresis,11,unpurified PCR,2024-06-05,2024-06-06
24-087,Extract2seq,8,bacteria,2024-05-24,2024-06-10
24-088,Extract2seq,25,unpurified PCR,2024-06-10,2024-06-10
24-089,Capillary+Cleanup,6,unpurified PCR,2024-06-05,2024-06-14
24-090,Extract2seq,6,bacteria,2024-06-14,
24-091,Capillary+Cleanup,22,unpurified PCR,2024-06-14,2024-06-21
24-092,Capillary+Cleanup,2,unpurified PCR,2024-06-14,2024-06-21
24-093,Capseq,2,purified PCR,2024-06-14,2024-06-21
24-094,Capillary+Cleanup,6,unpurified PCR,2024-06-19,2024-06-21
24-095,Capillary+Cleanup,9,unpurified PCR,2024-06-20,2024-06-26
24-091a,Capillary+Cleanup,38,unpurified PCR,2024-06-20,2024-06-28
24-096,Extraction,6,human whole blood,2024-06-14,2024-06-18
24-097,Extraction,1,human whole blood,2024-06-18,2024-06-19
24-098,Extraction,4,human whole blood,2024-06-21,2024-06-21
24-099,Capillary+Cleanup,69,unpurified PCR,2024-06-26,2024-07-03
24-100,Capillary+Cleanup,9,unpurified PCR,2024-07-03,2024-07-12
24-101,Extract2seq,2,plant,2024-08-13,2024-08-21
24-103,Extract2seq,10,plant,2024-07-01,
24-104,Extract2seq,4,nematode,2024-07-05,
24-105,Capseq,7,purified PCR,2024-07-08,2024-07-19
24-106,Extract2seq,8,bacteria,2024-07-12,2024-07-19
24-107,Capseq,2,purified PCR,2024-07-18,2024-07-29
24-108,Extract2PCR,42,human whole blood,2024-07-19,2024-07-30
24-109,Capillary+Cleanup,10,unpurified PCR,2024-07-26,2024-08-08
24-110,Capillary+Cleanup,9,unpurified PCR,2024-07-30,2024-08-16
24-111,Capillary+Cleanup,3,unpurified PCR,2024-08-05,2024-08-08
24-112,Capillary+Cleanup,1,unpurified PCR,2024-08-05,2024-08-08
24-113,Capillary+Cleanup,4,unpurified PCR,2024-08-06,2024-08-16
24-114,Extract2seq,14,bacteria,2024-07-11,2024-08-16
24-115,Capillary+Cleanup,13,unpurified PCR,2024-08-08,2024-08-27
24-116,Capillary+Cleanup,52,unpurified PCR,2024-08-13,2024-08-16
24-117,Extract2seq,2,bacteria,2024-08-14,2024-08-21
24-118,Extract2PCR,17,human whole blood,2024-08-16,
24-119,Capseq,3,purified PCR,2024-08-20,2024-08-21
24-120,Extract2seq,12,fungi,2024-08-20,
24-121,Capseq,8,purified PCR,2024-08-27,2024-09-11
24-122,Extract2seq,6,plant,2024-08-29,
24-113,Capillary+Cleanup,10,unpurified PCR,2024-08-29,2024-09-11
24-114,Extract2seq,7,bacteria,2024-08-30,2024-09-11
24-115,Capillary+Cleanup,5,unpurified PCR,2024-09-06,2024-09-06
24-126,Capillary+Cleanup,4,unpurified PCR,2024-09-11,2024-09-18
24-117,Uni-Capillary+Cleanup,3,unpurified PCR,2024-09-11,2024-09-18
24-118,Uni-Capillary,1,purified PCR,2024-09-12,2024-09-18
24-129,Capseq,10,purified PCR,2024-09-30,2024-10-04
24-130,Capseq,25,purified PCR,2024-09-30,2024-10-08
24-131,Extract2seq,2,bacteria,2024-10-01,2024-10-04
24-132,Capseq,30,purified PCR,2024-10-01,2024-10-04
24-133,Capillary+Cleanup,16,unpurified PCR,2024-10-01,2024-10-04
24-134,Extract2seq,1,bacteria,2024-10-02,2024-10-04
24-135,Extract2seq,1,Tissue,2024-10-04,
24-136,Extract2seq,2,bacteria,2024-10-04,2024-10-18
24-137,Uni-Capillary+Cleanup,2,unpurified PCR,2024-10-07,2024-10-11
24-138,Extract2seq,8,bacteria,2024-10-03,2024-10-11
24-139,Capillary+Cleanup,36,unpurified PCR,2024-10-09,2024-10-11
24-140,Extract2seq,4,bacteria,2024-10-09,2024-10-18
24-141,Capillary+Cleanup,10,unpurified PCR,2024-10-11,2024-10-18
24-142,Capseq,20,purified PCR,2024-10-15,2024-10-30
24-143,Uni-Capillary+Cleanup,7,unpurified PCR,2024-10-18,2024-10-29
24-144,PCR2seq,1,DNA,2024-10-22,
24-145,Extract2seq,1,bacteria,2024-10-23,
24-146,Extract2seq,57,mollusk,2024-10-29,
24-147,Capseq,20,purified PCR,2024-10-29,
24-148,Capseq,3,purified PCR,2024-10-29,
